,x,y,time,theta
1580.0,227.5,154.5,62.13873028755188,-0.18240669614403135
1581.0,227.5,154.5,62.15373420715332,-0.18240669614403135
1582.0,213.18223571777344,157.30374145507812,62.202216386795044,-0.18027775666888957
1583.0,213.18223571777344,157.30374145507812,62.21921944618225,-0.18027775666888957
1584.0,213.18223571777344,157.30374145507812,62.23322296142578,-0.18027775666888957
1585.0,215.0,159.0,62.28221607208252,-0.17898988367118612
1586.0,215.0,159.0,62.298219442367554,-0.17898988367118612
1587.0,196.5,144.0,62.34575581550598,-0.19038189748900058
1588.0,196.5,144.0,62.361759424209595,-0.19038189748900058
1589.0,196.0,157.0,62.41016173362732,-0.18050838086983206
1590.0,196.0,157.0,62.427165031433105,-0.18050838086983206
1591.0,199.4516143798828,149.19354248046875,62.47416925430298,-0.1864367267405343
1592.0,194.0,152.5,62.53805661201477,-0.18392550127233243
1593.0,194.0,152.5,62.553059577941895,-0.18392550127233243
1594.0,170.24411010742188,149.58753967285156,62.60207200050354,-0.18613747036208608
1595.0,170.24411010742188,149.58753967285156,62.619051694869995,-0.18613747036208608
1596.0,170.24411010742188,149.58753967285156,62.63305902481079,-0.18613747036208608
1597.0,162.5,155.0,62.682069540023804,-0.18202701600903787
1598.0,162.5,155.0,62.697072982788086,-0.18202701600903787
1599.0,166.5,150.0,62.74601149559021,-0.1858241959743869
1600.0,166.5,150.0,62.76201629638672,-0.1858241959743869
1601.0,158.0,161.0,62.81002640724182,-0.1774715261447673
1602.0,158.0,161.0,62.827030181884766,-0.1774715261447673
1603.0,136.5,158.5,62.87401533126831,-0.1793694949442032
1604.0,122.01786041259766,170.0892791748047,62.93803024291992,-0.1705729457257069
1605.0,122.01786041259766,170.0892791748047,62.95503330230713,-0.1705729457257069
1606.0,132.5,179.39999389648438,63.00205063819885,-0.16350949776010526
1607.0,132.5,179.39999389648438,63.01805377006531,-0.16350949776010526
1608.0,132.5,179.39999389648438,63.03405737876892,-0.16350949776010526
1609.0,529.0,-15.5,63.08206868171692,-0.3118108627002726
1610.0,529.0,-15.5,63.098071813583374,-0.3118108627002726
1611.0,115.0,191.5,63.146058797836304,-0.15433511063756034
1612.0,115.0,191.5,63.163066148757935,-0.15433511063756034
1613.0,536.5,-16.0,63.210054874420166,-0.31219184898018537
1614.0,536.5,-16.0,63.22505760192871,-0.31219184898018537
1615.0,109.5,192.0,63.273926973342896,-0.15395613334988498
1616.0,90.35713958740234,191.35714721679688,63.33787536621094,-0.15444338848405886
1617.0,90.35713958740234,191.35714721679688,63.35387921333313,-0.15444338848405886
1618.0,74.5,183.0,63.401888847351074,-0.16077930599119325
